,topic,difficulty,obscurity,extracted_queries
0,Quantum Physics,Hard,Most,"In quantum physics, the Heisenberg Uncertainty Principle states that the more precisely the position of a particle is determined, the less precisely its momentum can be known."
1,Quantum Physics,Hard,Most,"The wave-particle duality of light is explained by quantum physics, which says light can behave both as a particle and as a wave."
2,Quantum Physics,Hard,Most,"In the double slit experiment, individual photons interfere with themselves as waves when passing through two parallel slits, producing an interference pattern on a screen."
3,Quantum Physics,Hard,Most,"Quantum entanglement is a phenomenon in which two or more quantum particles remain connected so that actions performed on one affect the others, even when separated by large distances."
4,Quantum Physics,Hard,Most,"The electron spin is quantized, meaning the component of angular momentum measured along one direction can only take on integer multiples of Planck's constant divided by 2π."
5,Quantum Physics,Hard,Most,"In quantum tunneling, a particle can pass through a potential barrier despite having insufficient energy to classically surmount the barrier."
6,Quantum Physics,Hard,Most,The photoelectric effect provides direct evidence for the existence of the photon and particles of light with discrete energy.
7,Quantum Physics,Hard,Most,"In the two-slit electron interference experiment, individual electrons build up an interference pattern over time, demonstrating wave-particle duality."
8,Quantum Physics,Hard,Most,Quantum teleportation can transmit the quantum state and properties of a particle to another distant particle without moving the original particle.
9,Quantum Physics,Hard,Most,The Pauli exclusion principle states that two identical fermions cannot occupy the same quantum state simultaneously.
10,Quantum Physics,Hard,Most,Quantum superposition refers to the phenomenon where a quantum system can exist in multiple states at once until it is measured.
11,Quantum Physics,Hard,Most,"In quantum mechanics, observable physical properties are represented by linear Hermitian operators that act on the quantum state."
12,Quantum Physics,Hard,Most,"The quantization of angular momentum is a consequence of wave-particle duality, resulting in discrete energy levels."
13,Quantum Physics,Hard,Most,Quantum decoherence describes how interference and superposition are lost when a quantum system interacts with its environment.
14,Quantum Physics,Hard,Most,Quantum entanglement leads to experimentally observable non-local correlations between measurement outcomes.
15,Quantum Physics,Hard,Most,The quantum spin Hall effect is a topological state of matter with conducting edge states protected against scattering.
16,Quantum Physics,Hard,Most,Quantum annealing uses quantum fluctuations to tunnel through barriers in an optimization problem to find the global minimum.
17,Quantum Physics,Hard,Most,Quantum computers utilize superposition and entanglement to potentially solve certain problems faster than classical computers.
18,Quantum Physics,Medium,Fairly,A photon's spin angular momentum can only be +1 or -1.
19,Quantum Physics,Medium,Fairly,The Copenhagen interpretation asserts that a particle has no definite properties prior to measurement.
20,Quantum Physics,Medium,Fairly,The collapse of a quantum wavefunction occurs instantaneously across all space.
21,Quantum Physics,Medium,Fairly,Bell's theorem proves that no local hidden variable theory can reproduce all the predictions of quantum mechanics.
22,Quantum Physics,Medium,Fairly,Quantum entanglement allows faster-than-light communication between observers.
23,Quantum Physics,Medium,Fairly,Quantum tunneling refers to a particle crossing a potential barrier despite having insufficient energy to classically surmount it.
24,Quantum Physics,Medium,Fairly,The de Broglie wavelength of a particle is inversely proportional to its momentum.
25,Quantum Physics,Medium,Fairly,"According to quantum field theory, particles are excitations of underlying quantum fields that permeate space."
26,Quantum Physics,Medium,Fairly,"In the double slit experiment, interference fringes are still observed even when particles are sent through one at a time."
27,Quantum Physics,Medium,Fairly,The Einstein-Podolsky-Rosen paradox proves that quantum mechanics is an incomplete theory.
28,Quantum Physics,Medium,Fairly,Erwin Schrödinger's famous thought experiment involved a cat in a box that is simultaneously alive and dead.
29,Quantum Physics,Medium,Fairly,The photoelectric effect provided early evidence for the existence of photons.
30,Quantum Physics,Medium,Fairly,Quantum entanglement cannot be used to transmit information faster than the speed of light.
31,Quantum Physics,Medium,Fairly,"Werner Heisenberg's uncertainty principle states that the more precisely one property of a particle is measured, the less precisely other properties can be known."
32,Quantum Physics,Medium,Fairly,"In quantum mechanics, particles do not follow definite paths."
33,Quantum Physics,Medium,Fairly,The Pauli exclusion principle explains why electrons fill atomic orbitals in the order they do.
34,Quantum Physics,Medium,Fairly,Quantum tunneling plays an important role in nuclear fusion within stars.
35,Quantum Physics,Medium,Fairly,Quantum teleportation can transmit the exact state of a quantum system to another location.
36,Quantum Physics,Medium,Fairly,"The spin of an electron is quantized, meaning it can only take on certain discrete values."
37,Quantum Physics,Medium,Fairly,Quantum computers utilize the phenomena of superposition and entanglement to outperform classical computers.
38,Quantum Physics,Easy,Least,Electrons behave like particles and waves.
39,Quantum Physics,Easy,Least,The photoelectric effect provided evidence for the particle nature of light.
40,Quantum Physics,Easy,Least,Quantum tunneling allows particles to pass through potential energy barriers.
41,Quantum Physics,Easy,Least,The Schrödinger equation describes the wavefunction of a quantum system.
42,Quantum Physics,Easy,Least,Quantum entanglement leads to nonlocal correlations between particles.
43,Quantum Physics,Easy,Least,The Pauli exclusion principle states that no two identical fermions can occupy the same quantum state.
44,Quantum Physics,Easy,Least,The double slit experiment demonstrates the wave nature of matter.
45,Quantum Physics,Easy,Least,Quantum superposition refers to particles existing in multiple states at once.
46,Quantum Physics,Easy,Least,"Heisenberg's uncertainty principle states that the more precisely one property is measured, the less precisely the other can be controlled."
47,Quantum Physics,Easy,Least,Quantum mechanics is deterministic.
48,Quantum Physics,Easy,Least,Wave-particle duality is a central concept in quantum mechanics.
49,Quantum Physics,Easy,Least,The spin of an electron is quantized.
50,Quantum Physics,Easy,Least,Quantum physics completely rejects the principles of classical mechanics.
51,Quantum Physics,Easy,Least,Quantum entanglement can be used for quantum teleportation.
52,Quantum Physics,Easy,Least,The EPR paradox concerned the completeness of quantum mechanics.
53,Quantum Physics,Easy,Least,Quantum computers utilize the principles of superposition and entanglement.
54,Quantum Physics,Easy,Least,Bell's theorem proves that local hidden variable theories cannot reproduce all predictions of quantum mechanics.
55,Quantum Physics,Easy,Least,Quantum tunneling plays an important role in nuclear fusion within stars.
56,Quantum Physics,Easy,Least,The quantum Zeno effect causes an unstable particle to remain in its initial state under constant observation.
57,Quantum Physics,Easy,Least,Quantum decoherence explains how quantum systems interact with the environment.
